DraftPick,FIFA_Rank,Team,Points,Category,Status
111,101,Tajikistan,1224.19,FIFA member,
112,100,El Salvador,1225.34,FIFA member,
113,99,Vietnam,1225.68,FIFA member,
114,98,Luxembourg,1232.82,FIFA member,
115,97,Guatemala,1238.74,FIFA member,
116,96,Belarus,1242.88,FIFA member,
117,95,Palestine,1243.71,FIFA member,
118,94,Thailand,1250.8,FIFA member,
119,93,Benin,1252.17,FIFA member,
120,92,Bahrain,1254.41,FIFA member,
121,91,China PR,1254.81,FIFA member,
122,90,Zambia,1255.82,FIFA member,
123,89,Uganda,1264.09,FIFA member,
124,88,Haiti,1264.58,FIFA member,
125,87,Angola,1265.58,FIFA member,
126,86,New Zealand,1269.8,FIFA member,
127,85,Bulgaria,1271.68,FIFA member,
128,84,Gabon,1272.51,FIFA member,
129,83,Syria,1283.05,FIFA member,
130,82,Curaçao,1285.65,FIFA member,
131,81,Guinea,1295.6,FIFA member,
132,80,Montenegro,1301.98,FIFA member,
133,79,Oman,1306.9,FIFA member,
134,78,Kosovo,1319.12,FIFA member,
135,77,Bolivia,1326.0,FIFA member,
136,76,Israel,1333.9,FIFA member,
137,75,Finland,1341.92,FIFA member,
138,74,Iceland,1342.77,FIFA member,
139,73,Jordan,1350.41,FIFA member,
140,72,Georgia,1355.26,FIFA member,
141,71,Jamaica,1357.84,FIFA member,
142,70,Northern Ireland,1365.3,FIFA member,
143,69,North Macedonia,1369.16,FIFA member,
144,68,United Arab Emirates,1370.47,FIFA member,
145,67,Albania,1376.03,FIFA member,
146,66,Honduras,1378.97,FIFA member,
147,65,Ghana,1387.0,FIFA member,
148,64,Cabo Verde,1402.97,FIFA member,
149,63,Iraq,1404.17,FIFA member,
150,62,Burkina Faso,1406.99,FIFA member,
151,61,Bosnia and Herzegovina,1408.93,FIFA member,
152,60,Uzbekistan,1409.73,FIFA member,
153,59,Qatar,1411.07,FIFA member,
154,58,Saudi Arabia,1425.51,FIFA member,
155,57,Tunisia,1426.59,FIFA member,
156,56,Slovenia,1441.09,FIFA member,
157,55,Republic of Ireland,1441.1,FIFA member,
158,54,South Africa,1451.24,FIFA member,
159,53,Mali,1455.59,FIFA member,
160,52,Romania,1455.89,FIFA member,
161,51,Costa Rica,1456.03,FIFA member,
162,50,Peru,1457.69,FIFA member,
163,49,Chile,1458.2,FIFA member,
164,48,Czechia,1467.26,FIFA member,
165,47,Venezuela,1469.18,FIFA member,
166,46,Greece,1473.19,FIFA member,
167,45,Slovakia,1473.66,FIFA member,
168,44,Panama,1478.42,FIFA member,
169,43,Cameroon,1481.24,FIFA member,
170,42,Scotland,1491.22,FIFA member,
171,41,Congo DR,1495.48,FIFA member,
172,40,Serbia,1502.13,FIFA member,
173,39,Hungary,1506.39,FIFA member,
174,38,Wales,1516.95,FIFA member,
175,37,Sweden,1525.58,FIFA member,
176,36,Poland,1526.18,FIFA member,
177,35,Russia,1529.6,FIFA member,
178,34,Paraguay,1542.48,FIFA member,
179,33,Ukraine,1549.29,FIFA member,
180,32,Korea Republic,1558.72,FIFA member,
181,31,Côte d'Ivoire,1565.48,FIFA member,
182,30,Canada,1571.34,FIFA member,
183,29,Algeria,1576.8,FIFA member,
184,28,Australia,1581.51,FIFA member,
185,27,Türkiye,1582.54,FIFA member,
186,26,Nigeria,1585.02,FIFA member,
187,25,Ecuador,1592.59,FIFA member,
188,24,Egypt,1597.05,FIFA member,
189,23,Austria,1598.82,FIFA member,
190,22,IR Iran,1609.84,FIFA member,
191,21,Denmark,1619.47,FIFA member,
192,20,Uruguay,1634.71,FIFA member,
193,19,Norway,1651.29,FIFA member,
194,18,Senegal,1653.43,FIFA member,
195,17,Japan,1673.68,FIFA member,
196,16,USA,1690.33,FIFA member,
197,15,Italy,1704.73,FIFA member,
198,14,Switzerland,1710.88,FIFA member,
199,13,Croatia,1723.05,FIFA member,
200,12,Germany,1726.22,FIFA member,
201,11,Colombia,1739.89,FIFA member,
202,10,Mexico,1754.3,FIFA member,
203,9,Netherlands,1775.54,FIFA member,
204,8,Belgium,1778.36,FIFA member,
205,7,Portugal,1787.86,FIFA member,
206,6,Morocco,1803.99,FIFA member,
207,5,Brazil,1804.93,FIFA member,
208,4,England,1871.38,FIFA member,
209,3,Spain,1912.34,FIFA member,
210,2,Argentina,1925.15,FIFA member,
211,1,France,1925.86,FIFA member,
